X=45 x 5mm Y=1 x 0mm z=0mm
X Y B
1 1 -0.1264 
2 1 -0.2343 
3 1 -0.4722 
4 1 -1.0319 
5 1 -2.3507 
6 1 -05.161 
7 1 -09.970 
8 1 -16.655 
9 1 -25.029 
10 1 -035.10 
11 1 -046.72 
12 1 -059.68 
13 1 -073.04 
14 1 -085.35 
15 1 -095.15 
16 1 -101.73 
17 1 -105.38 
18 1 -107.12 
19 1 -107.81 
20 1 -108.12 
21 1 -108.22 
22 1 -108.20 
23 1 -108.21 
24 1 -108.17 
25 1 -108.14 
26 1 -108.09 
27 1 -108.02 
28 1 -107.91 
29 1 -107.58 
30 1 -106.89 
31 1 -105.25 
32 1 -101.81 
33 1 -095.52 
34 1 -085.88 
35 1 -073.71 
36 1 -060.34 
37 1 -047.28 
38 1 -035.53 
39 1 -025.38 
40 1 -16.969 
41 1 -10.196 
42 1 -05.246 
43 1 -02.352 
44 1 -1.0031 
45 1 -0.4449 
