X=45 x 5mm Y=6 x 8mm z=0mm
X Y B
1 1 +0.0806 
2 1 +0.1644 
3 1 +0.3509 
4 1 +0.7913 
5 1 +1.8374 
6 1 +04.089 
7 1 +07.974 
8 1 +13.359 
9 1 +20.126 
10 1 +028.31 
11 1 +037.83 
12 1 +048.42 
13 1 +059.36 
14 1 +069.53 
15 1 +077.66 
16 1 +083.12 
17 1 +086.18 
18 1 +087.62 
19 1 +088.25 
20 1 +088.52 
21 1 +088.65 
22 1 +088.72 
23 1 +088.74 
24 1 +088.79 
25 1 +088.78 
26 1 +088.79 
27 1 +088.78 
28 1 +088.69 
29 1 +088.49 
30 1 +087.93 
31 1 +086.67 
32 1 +083.87 
33 1 +078.72 
34 1 +070.79 
35 1 +060.71 
36 1 +049.67 
37 1 +038.86 
38 1 +029.16 
39 1 +020.84 
40 1 +13.890 
41 1 +08.343 
42 1 +04.269 
43 1 +1.8936 
44 1 +0.7994 
45 1 +0.3522 
45 2 +0.3592 
44 2 +0.7769 
43 2 +1.6207 
42 2 +03.124 
41 2 +05.458 
40 2 +08.618 
39 2 +12.579 
38 2 +17.327 
37 2 +22.809 
36 2 +028.74 
35 2 +034.67 
34 2 +040.07 
33 2 +044.42 
32 2 +047.41 
31 2 +049.22 
30 2 +050.17 
29 2 +050.63 
28 2 +050.82 
27 2 +050.90 
26 2 +050.92 
25 2 +050.94 
24 2 +050.92 
23 2 +050.87 
22 2 +050.85 
21 2 +050.77 
20 2 +050.66 
19 2 +050.40 
18 2 +049.87 
17 2 +048.84 
16 2 +046.91 
15 2 +043.77 
14 2 +039.37 
13 2 +033.93 
12 2 +028.02 
11 2 +022.19 
10 2 +16.816 
9 2 +12.166 
8 2 +08.301 
7 2 +05.234 
6 2 +02.997 
5 2 +1.5509 
4 2 +0.7447 
3 2 +0.3419 
2 2 +0.1552 
1 2 +0.0700 
1 3 +0.0130 
2 3 +0.0388 
3 3 +0.0940 
4 3 +0.2073 
5 3 +0.4229 
6 3 +0.7885 
7 3 +1.3425 
8 3 +2.0997 
9 3 +03.059 
10 3 +04.206 
11 3 +05.531 
12 3 +06.963 
13 3 +08.390 
14 3 +09.718 
15 3 +10.791 
16 3 +11.602 
17 3 +12.125 
18 3 +12.407 
19 3 +12.594 
20 3 +12.677 
21 3 +12.741 
22 3 +12.770 
23 3 +12.806 
24 3 +12.848 
25 3 +12.849 
26 3 +12.866 
27 3 +12.873 
28 3 +12.839 
29 3 +12.798 
30 3 +12.675 
31 3 +12.415 
32 3 +11.919 
33 3 +11.161 
34 3 +10.079 
35 3 +08.756 
36 3 +07.307 
37 3 +05.826 
38 3 +04.454 
39 3 +03.251 
40 3 +02.246 
41 3 +1.4497 
42 3 +0.8604 
43 3 +0.4680 
44 3 +0.2359 
45 3 +0.1135 
45 4 -0.2063 
44 4 -0.4396 
43 4 -0.8874 
42 4 -1.6533 
41 4 -02.812 
40 4 -04.379 
39 4 -06.345 
38 4 -08.681 
37 4 -11.347 
36 4 -14.201 
35 4 -17.050 
34 4 -19.629 
33 4 -21.730 
32 4 -23.213 
31 4 -24.149 
30 4 -24.678 
29 4 -24.939 
28 4 -25.091 
27 4 -25.157 
26 4 -25.198 
25 4 -25.234 
24 4 -25.235 
23 4 -25.288 
22 4 -25.291 
21 4 -25.302 
20 4 -25.269 
19 4 -25.133 
18 4 -24.906 
17 4 -24.370 
16 4 -23.387 
15 4 -21.846 
14 4 -19.714 
13 4 -17.091 
12 4 -14.234 
11 4 -11.350 
10 4 -08.689 
9 4 -06.329 
8 4 -04.364 
7 4 -02.802 
6 4 -1.6638 
5 4 -0.9036 
4 4 -0.4582 
3 4 -0.2243 
2 4 -0.1115 
1 4 -0.0590 
1 5 -0.1003 
2 5 -0.1931 
3 5 -0.4004 
4 5 -0.8594 
5 5 -1.8176 
6 5 -03.596 
7 5 -06.419 
8 5 -10.313 
9 5 -15.215 
10 5 -21.107 
11 5 -27.911 
12 5 -035.36 
13 5 -042.80 
14 5 -049.68 
15 5 -055.24 
16 5 -059.07 
17 5 -061.36 
18 5 -062.56 
19 5 -063.08 
20 5 -063.32 
21 5 -063.38 
22 5 -063.38 
23 5 -063.38 
24 5 -063.35 
25 5 -063.35 
26 5 -063.31 
27 5 -063.23 
28 5 -063.13 
29 5 -062.88 
30 5 -062.36 
31 5 -061.24 
32 5 -059.07 
33 5 -055.35 
34 5 -049.93 
35 5 -043.13 
36 5 -035.66 
37 5 -028.19 
38 5 -021.34 
39 5 -15.447 
40 5 -10.488 
41 5 -06.538 
42 5 -03.647 
43 5 -1.8244 
44 5 -0.8442 
45 5 -0.3810 
45 6 -0.2841 
44 6 -0.6395 
43 6 -1.6210 
42 6 -04.135 
41 6 -08.854 
40 6 -15.249 
39 6 -23.083 
38 6 -032.53 
37 6 -043.57 
36 6 -056.02 
35 6 -068.89 
34 6 -080.71 
33 6 -090.01 
32 6 -095.91 
31 6 -098.94 
30 6 -100.25 
29 6 -100.79 
28 6 -101.03 
27 6 -101.11 
26 6 -101.17 
25 6 -101.20 
24 6 -101.21 
23 6 -101.23 
22 6 -101.24 
21 6 -101.26 
20 6 -101.20 
19 6 -100.96 
18 6 -100.44 
17 6 -099.00 
16 6 -095.70 
15 6 -089.50 
14 6 -080.01 
13 6 -068.08 
12 6 -055.26 
11 6 -042.94 
10 6 -032.06 
9 6 -022.66 
8 6 -14.908 
7 6 -08.602 
6 6 -04.061 
5 6 -1.6378 
4 6 -0.6734 
3 6 -0.3117 
2 6 -0.1626 
1 6 -0.0931 

